subsection|variable_name|year_from|year_to|polity_name|polity_new_ID|polity_old_ID|value_from|value_to|confidence|is_disputed|is_uncertain|expert_checked|DRB_reviewed
Religious Demography|Most widespread religion|||Middle Postclassic Basin of Mexico|mx_basin_of_mexico_10|MxPostM|Mesoamerican Religions||Confident|False|False|True|False
Religious Demography|Most widespread religion|||Kingdom of Nyinginya|Early Niynginya|Early Niynginya|Cwezi-Kubandwa Religion||Confident|False|False|False|
Religious Demography|Most widespread religion|||Kanem-Borno|ni_bornu_emp|ni_bornu_emp|Bornu Religion||Confident|False|False|False|
Religious Demography|Most widespread religion|||Gurjar-Pratihara Dynasty|in_gurjara_pratihara_dyn|in_gurjara_pratihara_dyn|Hinduism||Confident|False|False|False|False
Religious Demography|Most widespread religion|||Proto-Yoruba|ni_proto_yoruba|ni_proto_yoruba|Orisha Religion||Confident|False|False|True|False
Religious Demography|Most widespread religion|||Neolithic Crete|gr_crete_nl|GrCrNeo|Neolithic Cretan Religion||Confident|False|False|True|False
Religious Demography|Most widespread religion|||Kampili Kingdom|in_kampili_k|InKampi|Hinduism||Confident|False|False|True|False
Religious Demography|Most widespread religion|||Chalukyas of Kalyani|in_kalyani_chalukya_emp|InChaKl|Hinduism||Confident|False|False|True|False
Religious Demography|Most widespread religion|||Latium - Bronze Age|it_latium_ba|ItLatBA|Appenine religion||Confident|False|False|False|
Religious Demography|Most widespread religion|||Latium - Copper Age|it_latium_ca|ItLatCA|Latium Copper Age religion||Confident|False|False|False|
Religious Demography|Most widespread religion|||Naqada II|eg_naqada_2|EgNaqa2|Naqada Religion||Confident|False|False|False|
Religious Demography|Most widespread religion|||Jaffna|sl_jaffa_k|sl_jaffa_k|Theraväda Buddhism||Confident|False|False|True|False
Religious Demography|Most widespread religion|||Dambadaneiya|sl_dambadeniya|sl_dambadeniya|Theraväda Buddhism||Confident|False|False|True|False
Religious Demography|Most widespread religion|||Polonnaruwa|sl_polonnaruva|sl_polonnaruva|Theraväda Buddhism||Confident|False|False|True|False
Religious Demography|Most widespread religion|||Kaabu|gm_kaabu_emp|gm_kaabu_emp|Kaabu Religion||Confident|False|False|True|False
